112,117,56,104,104
"[(40, 2474815, 61.3, 5184000), (39, 2457511, 62.2, 5184000), (27, 2422511, 63.4, 5184000), (28, 2420957, 62.1, 5184000), (38, 2307970, 64.4, 5184000), (34, 2305289, 62.8, 5184000), (35, 2266586, 64.7, 5184000), (16, 2263394, 66.4, 5184000), (23, 2252292, 62.7, 5184000), (17, 2248939, 63.6, 5184000), (32, 2231761, 62.9, 5184000), (31, 2208801, 63.6, 5184000), (37, 2206890, 65.3, 5184000), (10, 2186814, 63.4, 5184000), (36, 2165891, 65.8, 5184000), (33, 2162797, 64.8, 5184000), (25, 2154285, 65.9, 5184000), (20, 2139767, 67.5, 5184000), (24, 2138087, 65.8, 5184000), (14, 2132382, 66.5, 5184000), (13, 2126096, 67.0, 5184000), (22, 2110458, 63.6, 5184000), (21, 2100518, 66.4, 5184000), (15, 2096640, 67.5, 5184000), (30, 2072238, 66.1, 5184000), (9, 2050265, 65.1, 5184000), (11, 1992865, 67.2, 5184000), (19, 1971172, 67.3, 5184000), (127, 1966440, 64.7, 5184000), (126, 1931190, 66.4, 5184000), (18, 1922788, 67.3, 5184000), (12, 1908347, 68.0, 5184000), (108, 1905714, 64.6, 5184000), (107, 1879686, 64.9, 5184000), (125, 1828140, 67.6, 5184000), (104, 1785612, 67.9, 5184000), (106, 1785270, 68.0, 5184000), (103, 1773522, 69.5, 5184000), (121, 1741776, 68.9, 5184000), (124, 1719492, 67.8, 5184000), (115, 1698810, 68.7, 5184000), (117, 1698090, 67.2, 5184000), (118, 1680276, 68.2, 5184000), (78, 1678386, 67.7, 5184000), (123, 1662426, 68.9, 5184000), (116, 1647876, 67.1, 5184000), (122, 1641264, 67.5, 5184000), (99, 1640730, 70.5, 5184000), (57, 1639512, 68.8, 5184000), (120, 1639170, 69.6, 5184000), (90, 1636524, 70.9, 5184000), (102, 1636194, 69.3, 5184000), (93, 1635804, 68.4, 5184000), (75, 1634448, 71.0, 5184000), (69, 1630692, 68.9, 5184000), (72, 1626246, 69.5, 5184000), (71, 1621254, 69.5, 5184000), (98, 1619262, 69.9, 5184000), (92, 1598562, 68.6, 5184000), (95, 1598520, 70.1, 5184000), (119, 1596120, 70.4, 5184000), (113, 1595568, 68.7, 5184000), (54, 1591014, 70.7, 5184000), (70, 1568550, 70.1, 5184000), (114, 1563444, 71.2, 5184000), (91, 1561434, 69.5, 5184000), (77, 1553988, 69.4, 5184000), (112, 1553940, 70.8, 5184000), (101, 1540980, 70.2, 5184000), (76, 1540608, 70.8, 5184000), (96, 1532562, 71.6, 5184000), (109, 1532400, 72.0, 5184000), (45, 1517952, 69.4, 5184000), (55, 1514070, 71.4, 5184000), (110, 1511070, 69.4, 5184000), (100, 1506210, 70.7, 5184000), (51, 1505832, 71.3, 5184000), (89, 1504080, 72.4, 5184000), (111, 1499730, 71.7, 5184000), (56, 1494828, 70.9, 5184000), (97, 1490784, 70.5, 5184000), (67, 1486356, 71.6, 5184000), (88, 1479720, 73.5, 5184000), (68, 1478508, 72.4, 5184000), (62, 1475610, 72.3, 5184000), (87, 1470522, 71.3, 5184000), (74, 1470480, 72.0, 5184000), (84, 1462032, 72.6, 5184000), (94, 1450758, 72.2, 5184000), (48, 1439154, 74.2, 5184000), (60, 1432626, 72.2, 5184000), (52, 1427088, 72.2, 5184000), (49, 1425402, 71.6, 5184000), (83, 1424502, 71.8, 5184000), (59, 1423794, 72.7, 5184000), (66, 1423380, 72.2, 5184000), (73, 1419444, 71.9, 5184000), (50, 1414932, 72.9, 5184000), (86, 1409736, 71.5, 5184000), (63, 1405134, 73.8, 5184000), (80, 1390554, 72.2, 5184000), (53, 1387410, 72.5, 5184000), (61, 1387140, 73.3, 5184000), (85, 1385178, 72.4, 5184000), (81, 1383348, 71.2, 5184000), (65, 1364742, 72.3, 5184000), (46, 1359732, 71.7, 5184000), (64, 1358322, 71.3, 5184000), (82, 1356084, 71.5, 5184000), (79, 1352724, 71.9, 5184000), (58, 1351344, 71.4, 5184000), (47, 1345236, 73.2, 5184000), (-1, 0, 75.8, 100)]","[(1, 5544176, 64.4, 6912000), (2, 5541056, 64.1, 6912000), (38, 4963532, 64.3, 6912000), (0, 4856104, 67.8, 6912000), (42, 4727751, 61.0, 6912000), (19, 4710979, 69.2, 6912000), (31, 4709369, 60.8, 6912000), (26, 4705869, 65.6, 6912000), (33, 4693521, 64.0, 6912000), (36, 4693178, 67.0, 6912000), (43, 4685429, 63.5, 6912000), (20, 4679507, 69.2, 6912000), (25, 4679395, 69.1, 6912000), (34, 4678149, 65.1, 6912000), (39, 4676931, 65.2, 6912000), (22, 4667929, 70.3, 6912000), (29, 4661846, 68.3, 6912000), (23, 4657478, 71.1, 6912000), (28, 4655245, 70.2, 6912000), (17, 4567955, 70.4, 6912000), (32, 4548838, 65.8, 6912000), (18, 4412261, 71.5, 6912000), (24, 4394614, 70.7, 6912000), (21, 4385136, 71.8, 6912000), (27, 4378864, 70.9, 6912000), (120, 4186116, 63.9, 6912000), (121, 4183380, 64.2, 6912000), (124, 4180146, 65.1, 6912000), (127, 4178142, 63.6, 6912000), (12, 4087930, 69.8, 6912000), (13, 4073307, 71.1, 6912000), (15, 4063297, 71.2, 6912000), (16, 4058761, 71.7, 6912000), (9, 3993073, 71.8, 6912000), (109, 3976332, 62.4, 6912000), (111, 3961710, 65.0, 6912000), (122, 3952164, 67.4, 6912000), (128, 3951966, 65.3, 6912000), (11, 3947244, 71.9, 6912000), (84, 3942672, 70.3, 6912000), (99, 3940542, 69.7, 6912000), (112, 3935304, 66.1, 6912000), (119, 3929880, 69.0, 6912000), (86, 3927474, 72.8, 6912000), (115, 3927282, 65.6, 6912000), (125, 3925662, 67.6, 6912000), (118, 3925548, 66.4, 6912000), (105, 3919572, 69.5, 6912000), (114, 3919380, 66.5, 6912000), (126, 3915372, 69.1, 6912000), (10, 3907785, 72.0, 6912000), (123, 3907548, 69.7, 6912000), (87, 3902532, 73.2, 6912000), (101, 3901800, 73.9, 6912000), (93, 3901704, 71.5, 6912000), (90, 3899778, 73.0, 6912000), (104, 3899418, 72.2, 6912000), (108, 3898110, 71.7, 6912000), (89, 3888618, 73.0, 6912000), (102, 3885570, 71.5, 6912000), (14, 3859639, 73.3, 6912000), (110, 3818508, 66.4, 6912000), (74, 3811524, 72.9, 6912000), (116, 3809640, 67.5, 6912000), (75, 3809412, 70.6, 6912000), (113, 3787104, 68.5, 6912000), (117, 3776892, 68.7, 6912000), (77, 3776262, 74.4, 6912000), (78, 3774504, 73.0, 6912000), (79, 3720378, 72.6, 6912000), (94, 3692376, 72.1, 6912000), (95, 3684810, 70.9, 6912000), (80, 3678486, 72.6, 6912000), (91, 3673992, 74.5, 6912000), (85, 3673866, 74.0, 6912000), (82, 3665334, 74.3, 6912000), (106, 3663558, 73.0, 6912000), (103, 3658728, 73.0, 6912000), (100, 3650172, 74.3, 6912000), (83, 3648990, 73.9, 6912000), (97, 3646302, 74.6, 6912000), (88, 3643974, 74.2, 6912000), (98, 3640992, 73.0, 6912000), (107, 3639780, 72.9, 6912000), (92, 3639504, 74.3, 6912000), (73, 3559374, 73.5, 6912000), (76, 3537840, 74.7, 6912000), (81, 3534486, 74.4, 6912000), (96, 3520944, 73.8, 6912000), (63, 3411690, 73.1, 6912000), (65, 3397554, 72.5, 6912000), (72, 3386418, 72.3, 6912000), (69, 3383676, 73.4, 6912000), (66, 3374856, 73.5, 6912000), (68, 3368334, 73.3, 6912000), (47, 3321174, 73.7, 6912000), (58, 3302616, 72.8, 6912000), (48, 3295314, 73.7, 6912000), (50, 3286662, 74.6, 6912000), (51, 3278298, 74.6, 6912000), (59, 3272148, 72.2, 6912000), (61, 3258384, 74.3, 6912000), (62, 3247650, 73.4, 6912000), (54, 3247038, 74.2, 6912000), (53, 3238662, 73.5, 6912000), (45, 3224610, 73.6, 6912000), (70, 3218982, 74.1, 6912000), (57, 3215358, 75.0, 6912000), (56, 3213264, 74.4, 6912000), (64, 3208002, 75.0, 6912000), (71, 3189660, 74.4, 6912000), (67, 3188988, 74.7, 6912000), (46, 3182148, 74.6, 6912000), (60, 3155814, 74.2, 6912000), (52, 3111036, 74.9, 6912000), (49, 3108342, 75.0, 6912000), (55, 3040572, 76.3, 6912000), (-1, 0, 75.8, 100)]","[(3, 2512864, 62.6, 3456000), (24, 2198756, 62.6, 3456000), (31, 2198756, 62.6, 3456000), (32, 2198756, 62.6, 3456000), (33, 2198756, 62.6, 3456000), (34, 2198756, 62.6, 3456000), (9, 1895488, 69.6, 3456000), (95, 1884648, 62.6, 3456000), (96, 1884648, 62.6, 3456000), (97, 1884648, 62.6, 3456000), (98, 1884648, 62.6, 3456000), (113, 1884648, 62.6, 3456000), (114, 1884648, 62.6, 3456000), (115, 1884648, 62.6, 3456000), (116, 1884648, 62.6, 3456000), (117, 1884648, 62.6, 3456000), (118, 1884648, 62.6, 3456000), (30, 1857898, 72.6, 3456000), (19, 1844983, 72.3, 3456000), (11, 1839817, 74.2, 3456000), (18, 1820805, 73.3, 3456000), (12, 1820182, 74.4, 3456000), (45, 1624704, 69.6, 3456000), (48, 1624704, 69.6, 3456000), (49, 1624704, 69.6, 3456000), (50, 1624704, 69.6, 3456000), (51, 1624704, 69.6, 3456000), (94, 1592484, 72.6, 3456000), (109, 1592484, 72.6, 3456000), (110, 1592484, 72.6, 3456000), (111, 1592484, 72.6, 3456000), (112, 1592484, 72.6, 3456000), (74, 1581414, 72.3, 3456000), (84, 1581414, 72.3, 3456000), (85, 1581414, 72.3, 3456000), (86, 1581414, 72.3, 3456000), (87, 1581414, 72.3, 3456000), (52, 1576986, 74.2, 3456000), (59, 1576986, 74.2, 3456000), (60, 1576986, 74.2, 3456000), (61, 1576986, 74.2, 3456000), (62, 1576986, 74.2, 3456000), (73, 1560690, 73.3, 3456000), (80, 1560690, 73.3, 3456000), (81, 1560690, 73.3, 3456000), (82, 1560690, 73.3, 3456000), (83, 1560690, 73.3, 3456000), (53, 1560156, 74.4, 3456000), (63, 1560156, 74.4, 3456000), (64, 1560156, 74.4, 3456000), (65, 1560156, 74.4, 3456000), (66, 1560156, 74.4, 3456000), (46, 1342884, 75.5, 3456000), (47, 1342176, 75.3, 3456000), (79, 1330464, 75.8, 3456000), (58, 1328082, 76.9, 3456000), (-1, 0, 75.8, 100)]","[(0, 817464, 75.8, 2304000), (4, 814232, 75.0, 2304000), (3, 811576, 75.1, 2304000), (1, 796720, 75.4, 2304000), (10, 715281, 75.8, 2304000), (13, 715281, 75.8, 2304000), (14, 715281, 75.8, 2304000), (15, 715281, 75.8, 2304000), (16, 715281, 75.8, 2304000), (25, 712453, 75.0, 2304000), (35, 712453, 75.0, 2304000), (36, 712453, 75.0, 2304000), (37, 712453, 75.0, 2304000), (38, 712453, 75.0, 2304000), (24, 710129, 75.1, 2304000), (31, 710129, 75.1, 2304000), (32, 710129, 75.1, 2304000), (33, 710129, 75.1, 2304000), (34, 710129, 75.1, 2304000), (17, 697130, 75.4, 2304000), (20, 697130, 75.4, 2304000), (21, 697130, 75.4, 2304000), (22, 697130, 75.4, 2304000), (23, 697130, 75.4, 2304000), (54, 613098, 75.8, 2304000), (55, 613098, 75.8, 2304000), (56, 613098, 75.8, 2304000), (57, 613098, 75.8, 2304000), (67, 613098, 75.8, 2304000), (68, 613098, 75.8, 2304000), (69, 613098, 75.8, 2304000), (70, 613098, 75.8, 2304000), (71, 613098, 75.8, 2304000), (72, 613098, 75.8, 2304000), (99, 610674, 75.0, 2304000), (100, 610674, 75.0, 2304000), (101, 610674, 75.0, 2304000), (102, 610674, 75.0, 2304000), (119, 610674, 75.0, 2304000), (120, 610674, 75.0, 2304000), (121, 610674, 75.0, 2304000), (122, 610674, 75.0, 2304000), (123, 610674, 75.0, 2304000), (124, 610674, 75.0, 2304000), (95, 608682, 75.1, 2304000), (96, 608682, 75.1, 2304000), (97, 608682, 75.1, 2304000), (98, 608682, 75.1, 2304000), (113, 608682, 75.1, 2304000), (114, 608682, 75.1, 2304000), (115, 608682, 75.1, 2304000), (116, 608682, 75.1, 2304000), (117, 608682, 75.1, 2304000), (118, 608682, 75.1, 2304000), (75, 597540, 75.4, 2304000), (76, 597540, 75.4, 2304000), (77, 597540, 75.4, 2304000), (78, 597540, 75.4, 2304000), (88, 597540, 75.4, 2304000), (89, 597540, 75.4, 2304000), (90, 597540, 75.4, 2304000), (91, 597540, 75.4, 2304000), (92, 597540, 75.4, 2304000), (93, 597540, 75.4, 2304000), (30, 344792, 76.5, 2304000), (9, 341796, 76.0, 2304000), (11, 296639, 76.2, 2304000), (94, 295536, 76.5, 2304000), (109, 295536, 76.5, 2304000), (110, 295536, 76.5, 2304000), (111, 295536, 76.5, 2304000), (112, 295536, 76.5, 2304000), (12, 295351, 76.4, 2304000), (18, 293881, 76.0, 2304000), (45, 292968, 76.0, 2304000), (48, 292968, 76.0, 2304000), (49, 292968, 76.0, 2304000), (50, 292968, 76.0, 2304000), (51, 292968, 76.0, 2304000), (19, 284879, 76.6, 2304000), (52, 254262, 76.2, 2304000), (59, 254262, 76.2, 2304000), (60, 254262, 76.2, 2304000), (61, 254262, 76.2, 2304000), (62, 254262, 76.2, 2304000), (53, 253158, 76.4, 2304000), (63, 253158, 76.4, 2304000), (64, 253158, 76.4, 2304000), (65, 253158, 76.4, 2304000), (66, 253158, 76.4, 2304000), (73, 251898, 76.0, 2304000), (80, 251898, 76.0, 2304000), (81, 251898, 76.0, 2304000), (82, 251898, 76.0, 2304000), (83, 251898, 76.0, 2304000), (74, 244182, 76.6, 2304000), (84, 244182, 76.6, 2304000), (85, 244182, 76.6, 2304000), (86, 244182, 76.6, 2304000), (87, 244182, 76.6, 2304000), (58, 126708, 76.0, 2304000), (46, 125082, 75.9, 2304000), (79, 123960, 75.7, 2304000), (47, 121578, 75.7, 2304000), (-1, 0, 75.8, 100)]","[(4, 1314952, 65.7, 2304000), (3, 1247496, 67.1, 2304000), (1, 1228776, 70.8, 2304000), (25, 1150583, 65.7, 2304000), (35, 1150583, 65.7, 2304000), (36, 1150583, 65.7, 2304000), (37, 1150583, 65.7, 2304000), (38, 1150583, 65.7, 2304000), (0, 1126984, 68.7, 2304000), (24, 1091559, 67.1, 2304000), (31, 1091559, 67.1, 2304000), (32, 1091559, 67.1, 2304000), (33, 1091559, 67.1, 2304000), (34, 1091559, 67.1, 2304000), (17, 1075179, 70.8, 2304000), (20, 1075179, 70.8, 2304000), (21, 1075179, 70.8, 2304000), (22, 1075179, 70.8, 2304000), (23, 1075179, 70.8, 2304000), (99, 986214, 65.7, 2304000), (100, 986214, 65.7, 2304000), (101, 986214, 65.7, 2304000), (102, 986214, 65.7, 2304000), (119, 986214, 65.7, 2304000), (120, 986214, 65.7, 2304000), (121, 986214, 65.7, 2304000), (122, 986214, 65.7, 2304000), (123, 986214, 65.7, 2304000), (124, 986214, 65.7, 2304000), (10, 986111, 68.7, 2304000), (13, 986111, 68.7, 2304000), (14, 986111, 68.7, 2304000), (15, 986111, 68.7, 2304000), (16, 986111, 68.7, 2304000), (95, 935622, 67.1, 2304000), (96, 935622, 67.1, 2304000), (97, 935622, 67.1, 2304000), (98, 935622, 67.1, 2304000), (113, 935622, 67.1, 2304000), (114, 935622, 67.1, 2304000), (115, 935622, 67.1, 2304000), (116, 935622, 67.1, 2304000), (117, 935622, 67.1, 2304000), (118, 935622, 67.1, 2304000), (75, 921582, 70.8, 2304000), (76, 921582, 70.8, 2304000), (77, 921582, 70.8, 2304000), (78, 921582, 70.8, 2304000), (88, 921582, 70.8, 2304000), (89, 921582, 70.8, 2304000), (90, 921582, 70.8, 2304000), (91, 921582, 70.8, 2304000), (92, 921582, 70.8, 2304000), (93, 921582, 70.8, 2304000), (54, 845238, 68.7, 2304000), (55, 845238, 68.7, 2304000), (56, 845238, 68.7, 2304000), (57, 845238, 68.7, 2304000), (67, 845238, 68.7, 2304000), (68, 845238, 68.7, 2304000), (69, 845238, 68.7, 2304000), (70, 845238, 68.7, 2304000), (71, 845238, 68.7, 2304000), (72, 845238, 68.7, 2304000), (30, 768817, 68.7, 2304000), (19, 693168, 72.4, 2304000), (94, 658986, 68.7, 2304000), (109, 658986, 68.7, 2304000), (110, 658986, 68.7, 2304000), (111, 658986, 68.7, 2304000), (112, 658986, 68.7, 2304000), (9, 653751, 73.5, 2304000), (11, 608657, 73.7, 2304000), (74, 594144, 72.4, 2304000), (84, 594144, 72.4, 2304000), (85, 594144, 72.4, 2304000), (86, 594144, 72.4, 2304000), (87, 594144, 72.4, 2304000), (18, 586488, 75.3, 2304000), (45, 560358, 73.5, 2304000), (48, 560358, 73.5, 2304000), (49, 560358, 73.5, 2304000), (50, 560358, 73.5, 2304000), (51, 560358, 73.5, 2304000), (12, 542563, 75.6, 2304000), (52, 521706, 73.7, 2304000), (59, 521706, 73.7, 2304000), (60, 521706, 73.7, 2304000), (61, 521706, 73.7, 2304000), (62, 521706, 73.7, 2304000), (73, 502704, 75.3, 2304000), (80, 502704, 75.3, 2304000), (81, 502704, 75.3, 2304000), (82, 502704, 75.3, 2304000), (83, 502704, 75.3, 2304000), (53, 465054, 75.6, 2304000), (63, 465054, 75.6, 2304000), (64, 465054, 75.6, 2304000), (65, 465054, 75.6, 2304000), (66, 465054, 75.6, 2304000), (79, 355812, 75.5, 2304000), (58, 314886, 76.2, 2304000), (46, 303336, 76.0, 2304000), (47, 302898, 76.1, 2304000), (-1, 0, 75.8, 100)]"
option,accuracy,operations saved,total operations,% saved
"[0, 0, 0, 0, 0]",26.0,11839367,20160000,0.5872701884920635
"[1, 0, 0, 0, 0]",26.3,11809367,20160000,0.5857820932539682
"[2, 0, 0, 0, 0]",25.3,11756615,20160000,0.5831654265873016
"[2, 0, 0, 0, 1]",26.0,11647063,20160000,0.5777312996031746
"[2, 0, 0, 0, 2]",23.6,11665831,20160000,0.578662251984127
"[2, 0, 1, 0, 2]",23.6,11376258,20160000,0.5642985119047619
"[2, 0, 2, 0, 2]",23.6,11376258,20160000,0.5642985119047619
"[2, 0, 3, 0, 2]",23.6,11376258,20160000,0.5642985119047619
"[2, 0, 4, 0, 2]",23.6,11376258,20160000,0.5642985119047619
