11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"[2, 0, 1, 1, 10, 7, 3, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",28.8,209388554,557056000,0.375884209,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 4, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",29.7,203224482,557056000,0.364818765,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 5, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",30,202577824,557056000,0.363657916,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 6, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",30.3,202581998,557056000,0.363665409,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 7, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",32.2,202361822,557056000,0.36327016,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",31.8,202224779,557056000,0.363024147,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 3, 2, 6, 4, 6, 4, 9, 6]",31.3,201959674,557056000,0.362548243,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 4, 2, 6, 4, 6, 4, 9, 6]",37,198713824,557056000,0.35672145,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 5, 2, 6, 4, 6, 4, 9, 6]",37.7,198538937,557056000,0.356407501,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 6, 2, 6, 4, 6, 4, 9, 6]",38.9,198395814,557056000,0.356150574,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 7, 2, 6, 4, 6, 4, 9, 6]",39.4,198315753,557056000,0.356006852,,,,,,,,,,,,
"[2, 0, 2, 1, 10, 7, 8, 0, 5, 7, 2, 6, 4, 6, 4, 9, 6]",37.6,198126528,557056000,0.355667165,,,,,,,,,,,,
"[2, 0, 2, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",37.1,198026545,557056000,0.35548768,,,,,,,,,,,,
"[2, 0, 3, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",35.2,197809476,557056000,0.355098008,,,,,,,,,,,,
"[2, 0, 4, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",45.4,187453314,557056000,0.336507127,,,,,,,,,,,,
"[2, 0, 5, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",41.1,187396661,557056000,0.336405426,,,,,,,,,,,,
"[2, 0, 6, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",46.4,186945413,557056000,0.335595367,,,,,,,,,,,,
"[2, 0, 7, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.8,186463834,557056000,0.33473086,,,,,,,,,,,,
"[2, 0, 8, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.5,186352527,557056000,0.334531047,,,,,,,,,,,,
"[2, 0, 9, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.4,186249533,557056000,0.334346157,,,,,,,,,,,,
"[2, 0, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.9,185858493,557056000,0.333644181,,,,,,,,,,,,
"[2, 0, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 5, 9, 6]",53.3,185665467,557056000,0.33329767,,,,,,,,,,,,
"[2, 0, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",53.2,185581780,557056000,0.333147439,,,,,,,,,,,,
"[2, 1, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",52.5,185257539,557056000,0.332565378,,,,,,,,,,,,
"[2, 2, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",52.6,184012284,557056000,0.330329956,,,,,,,,,,,,
"[2, 3, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",52.6,183888158,557056000,0.330107131,,,,,,,,,,,,
"[2, 4, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",55.2,175530820,557056000,0.315104442,,,,,,,,,,,,
"[2, 5, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",55.3,175036462,557056000,0.314216994,,,,,,,,,,,,
"[2, 6, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",55.6,174788692,557056000,0.31377221,,,,,,,,,,,,
"[2, 7, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",56.9,174487113,557056000,0.31323083,,,,,,,,,,,,
"[2, 8, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",57,174347229,557056000,0.312979717,,,,,,,,,,,,
"[2, 9, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",57.5,174164806,557056000,0.31265224,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",57.5,174013519,557056000,0.312380657,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 1, 5, 8, 2, 6, 4, 6, 6, 9, 6]",58.2,173761991,557056000,0.311929126,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 2, 5, 8, 2, 6, 4, 6, 6, 9, 6]",59,172975157,557056000,0.310516639,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 3, 5, 8, 2, 6, 4, 6, 6, 9, 6]",58.4,172657425,557056000,0.309946262,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 4, 5, 8, 2, 6, 4, 6, 6, 9, 6]",62.6,165809148,557056000,0.297652566,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 5, 5, 8, 2, 6, 4, 6, 6, 9, 6]",63.5,165373974,557056000,0.296871363,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 6, 5, 8, 2, 6, 4, 6, 6, 9, 6]",65.4,165221267,557056000,0.296597231,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 7, 5, 8, 2, 6, 4, 6, 6, 9, 6]",67.5,165071937,557056000,0.296329161,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 8, 5, 8, 2, 6, 4, 6, 6, 9, 6]",66.6,164969463,557056000,0.296145204,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",68.1,164896924,557056000,0.296014986,,,,,,,,,,,,
"[2, 10, 10, 2, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",66.4,163617687,557056000,0.293718562,,,,,,,,,,,,
"[2, 10, 10, 3, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",67.2,163172223,557056000,0.292918886,,,,,,,,,,,,
"[2, 10, 10, 4, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",73.3,150015274,557056000,0.269300167,,,,,,,,,,,,
"[2, 10, 10, 5, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",73.8,149352437,557056000,0.268110274,,,,,,,,,,,,
"[2, 10, 10, 6, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",79,148812384,557056000,0.267140797,,,,,,,,,,,,
"[2, 10, 10, 7, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",81.9,147991639,557056000,0.265667436,,,,,,,,,,,,
"[2, 10, 10, 8, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",82.3,147540724,557056000,0.264857975,,,,,,,,,,,,
"[2, 10, 10, 9, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",82.2,147166118,557056000,0.2641855,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",82.6,146365645,557056000,0.26274853,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",82.7,146309360,557056000,0.26264749,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 8, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",82.3,146156621,557056000,0.2623733,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 9, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",82.7,146059578,557056000,0.262199093,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",83.3,145865034,557056000,0.261849857,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 5, 8, 3, 6, 4, 6, 6, 10, 6]",82.8,145680411,557056000,0.261518431,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 5, 8, 4, 6, 4, 6, 6, 10, 6]",86.5,142220212,557056000,0.255306849,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 5, 8, 5, 6, 4, 6, 6, 10, 6]",87.2,142209742,557056000,0.255288054,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 5, 8, 6, 6, 4, 6, 6, 10, 6]",86.3,142160231,557056000,0.255199174,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 6, 8, 6, 6, 4, 6, 6, 10, 6]",85.9,142008647,557056000,0.254927058,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 7, 8, 6, 6, 4, 6, 6, 10, 6]",86.1,141822684,557056000,0.254593226,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 8, 8, 6, 6, 4, 6, 6, 10, 6]",86.6,141620924,557056000,0.254231036,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 9, 8, 6, 6, 4, 6, 6, 10, 6]",86.7,141519435,557056000,0.254048848,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 6, 6, 4, 6, 6, 10, 6]",86.3,141362694,557056000,0.253767474,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 6, 6, 4, 6, 7, 10, 6]",86.6,141274846,557056000,0.253609774,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 6, 6, 4, 6, 8, 10, 6]",87.9,141226782,557056000,0.253523491,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 6, 6, 4, 6, 9, 10, 6]",88,141182980,557056000,0.25344486,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 6, 6, 4, 6, 10, 10, 6]",87.9,141107658,557056000,0.253309646,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 7, 6, 4, 6, 10, 10, 6]",89.1,141055248,557056000,0.253215562,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 6]",88.8,140997202,557056000,0.25311136,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 7]",88.9,140960072,557056000,0.253044706,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 8]",89,140914590,557056000,0.252963059,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 9]",88.9,140879246,557056000,0.252899612,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89,140839538,557056000,0.25282833,,,,,,,,,,,,
"[3, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",88.9,140833417,557056000,0.252817342,,,,,,,,,,,,
"[4, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89.4,130253806,557056000,0.233825335,,,,,,,,,,,,
"[5, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",88.9,130184229,557056000,0.233700434,,,,,,,,,,,,
"[6, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89.1,130075623,557056000,0.23350547,,,,,,,,,,,,
"[7, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89.1,129944155,557056000,0.233269465,,,,,,,,,,,,
"[8, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89,129911916,557056000,0.233211591,,,,,,,,,,,,
"[9, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89.2,129857013,557056000,0.233113032,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 9, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89.1,129805525,557056000,0.233020603,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 8, 6, 4, 6, 10, 10, 10]",89.9,129665035,557056000,0.232768402,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 8, 6, 5, 6, 10, 10, 10]",90.1,129477200,557056000,0.23243121,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 8, 6, 6, 6, 10, 10, 10]",89.4,129305335,557056000,0.232122686,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 8, 6, 7, 6, 10, 10, 10]",89.8,129224441,557056000,0.231977469,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 8, 6, 8, 6, 10, 10, 10]",89.7,129142138,557056000,0.231829723,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 8, 6, 9, 6, 10, 10, 10]",89.8,129127951,557056000,0.231804255,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 8, 6, 10, 6, 10, 10, 10]",89.7,129084388,557056000,0.231726053,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 9, 10, 10, 8, 8, 6, 10, 6, 10, 10, 10]",90.1,128886652,557056000,0.231371087,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 6, 10, 6, 10, 10, 10]",90.2,128396696,557056000,0.230491541,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 7, 10, 6, 10, 10, 10]",90.2,128315918,557056000,0.230346532,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 8, 10, 6, 10, 10, 10]",89.7,128267685,557056000,0.230259947,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 9, 10, 6, 10, 10, 10]",90.4,128229172,557056000,0.23019081,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 10, 10, 6, 10, 10, 10]",90.5,128159364,557056000,0.230065494,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 6, 10, 10, 10]",89.8,128080390,557056000,0.229923724,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 6, 10, 10, 10]",90.8,127988726,557056000,0.229759173,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 6, 10, 10, 10]",90.8,127914248,557056000,0.229625474,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10]",90.9,127844013,557056000,0.229499391,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 7, 10, 10, 10]",91.1,127788075,557056000,0.229398974,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10]",91.3,127771806,557056000,0.229369769,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10]",91,127735806,557056000,0.229305143,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",91.4,127639020,557056000,0.229131398,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11]",91.4,126271516,557056000,0.226676521,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11]",91.2,124973952,557056000,0.224347197,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11]",91.3,123540186,557056000,0.221773369,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11]",91.1,121754898,557056000,0.218568507,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11]",91.6,116911956,557056000,0.209874691,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11]",91.9,111179912,557056000,0.199584803,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11]",92.2,105820976,557056000,0.1899647,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11]",92.7,101598190,557056000,0.182384159,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11]",92.8,95094584,557056000,0.1707092,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",93.4,83609674,557056000,0.150092045,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",93.7,76151254,557056000,0.13670305,,,,,,,,,,,,
"[10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",93.5,68496066,557056000,0.122960826,,,,,,,,,,,,
"[10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",93.5,62796524,557056000,0.112729284,,,,,,,,,,,,
"[10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",94,48743434,557056000,0.087501856,,,,,,,,,,,,
"[10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",93.7,34162556,557056000,0.061326969,,,,,,,,,,,,
"[10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",93.6,20100816,557056000,0.036084013,,,,,,,,,,,,
"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",93.5,0,557056000,0,,,,,,,,,,,,
